Code,Region
1,NA
23,Midwest
45,Southwest
2,Northeast
24,Midwest
46,Southeast
3,Northeast
25,Midwest
47,Southeast
4,Northeast
26,Midwest
48,Southwest
5,Northeast
27,Midwest
49,Southwest
6,Northeast
28,Midwest
50,West
7,Northeast
29,Southeast
51,West
8,Northeast
30,Southeast
52,Southwest
9,Northeast
31,Southeast
53,West
10,Northeast
32,Southeast
54,West
11,Northeast
33,Southeast
55,West
12,Northeast
34,Southeast
56,West
13,Northeast
35,Southeast
57,Southwest
14,Midwest
36,Southeast
58,West
15,Midwest
37,Southeast
59,West
16,Midwest
38,Southeast
60,West
17,Midwest
39,Southeast
61,West
18,Midwest
40,Southeast
62,West
19,Midwest
41,Southeast
63,West
20,Midwest
42,Southeast
64,West
21,Midwest
43,Southeast
65,West
22,Midwest
44,Southeast
97,Southeast